 'ARTIST',  'TITLE',  'URL',  'LIKES',  'DISLIKES',  'VIEWS',  'USED?',  'LIKES  to  TOTAL  RATIO',  'LIKES  to  DISLIKES  RATIO',  'LIKES  to  VIEWS  RATIO' 
 Pabzzz  ,  For  You,5WGVMvGt8TY,1015,15,98965,False,0.9854368932038835,67.66666666666667,0.010256151164553124 
 Phase  ,  To  Do  List,3t1kVVVWXI4,123,1,11549,False,0.9919354838709677,123.0,0.010650272750887523 
 Phase  ,  Unexplainable,mRv8M7_m2Qk,205,5,23181,False,0.9761904761904762,41.0,0.008843449376644667 
 Phase  ,  Untold  Beauty,ucZ8yNy8sm8,97,3,13682,False,0.97,32.333333333333336,0.007089606782634118 
 Philanthrope  ,  Betchaker,SRMcv-G6b74,460,8,52413,False,0.9829059829059829,57.5,0.008776448590998416 
 Philanthrope  ,  Quintessenz  Un  Ihre  Nuance,S_F7YWFCdcs,332,4,36177,False,0.9880952380952381,83.0,0.009177101473311773 
 Philanthrope  ,  Timegoesby,WaTnIFQ6HU4,406,5,34484,False,0.9878345498783455,81.2,0.011773576151258555 
 Philo  ,  Oneofone_Rwrk,_LuX0t9iQ3Q,1154,3,54993,False,0.9974070872947277,384.6666666666667,0.02098448893495536 
 Prima  ,  June  Gloom,Qjy03H23DPA,1104,12,84896,False,0.989247311827957,92.0,0.013004146249528835 
 Quickly  Quickly  ,  All  I  Wanna  Do,0jv96RWAvbM,1227,21,84285,False,0.9831730769230769,58.42857142857143,0.014557750489410928 
 Saib.  ,  Shanghai  Nights,jDYICgpWpw0,2255,36,149785,False,0.9842863378437363,62.638888888888886,0.015054912040591515 
 Saib.  ,  Smooth,cTqmK8zvtd0,543,4,43384,False,0.9926873857404022,135.75,0.012516134980638024 
 Shinso  ,  In  Luv.,Wpa9OYg7OR8,641,4,36555,False,0.993798449612403,160.25,0.01753522090001368 
 Shinso  ,  Safe  With  Me,BcUcsk5dPHI,637,6,48761,False,0.9906687402799378,106.16666666666667,0.013063718955722812 
 Silo  ,  In  The  Moment  (Instrumental),eMjT73yU9L0,1834,27,131007,False,0.9854916711445459,67.92592592592592,0.01399925194836917 
